datetime,num,daily_accumulated_biogas_production (mL/d),daily_biogas (m3/d),daily_biogas_outlier_removed (m3/d),tCOD (kg/m3),sCOD (kg/m3),IN (kmolN/m3),pH
28/04/2022,0,7405.671385,0.007405671,0.007405671,,,,
29/04/2022,1,7462.92968,0.00746293,0.00746293,,,,
30/04/2022,2,7512.31641,0.007512316,0.007512316,,,,
01/05/2022,3,8339.91602,0.008339916,0.008339916,,,,
02/05/2022,4,9095.125,0.009095125,0.009095125,,,,
03/05/2022,5,7240.50781,0.007240508,0.007240508,,,,
04/05/2022,6,3992.875,0.003992875,0.003992875,,,0.184,7.5
05/05/2022,7,6303.22656,0.006303227,0.006303227,,,,
06/05/2022,8,6567.72266,0.006567723,0.006567723,,,,
07/05/2022,9,6766.42969,0.00676643,0.00676643,,,,
08/05/2022,10,6775.6875,0.006775688,0.006775688,,,,
09/05/2022,11,,,,,,,
10/05/2022,12,,,,,,,
11/05/2022,13,,,,,,,
12/05/2022,14,,,,,,0.183,
13/05/2022,15,,,,,,,
14/05/2022,16,,,,,,,
15/05/2022,17,,,,,,,
16/05/2022,18,,,,,,,7.8
17/05/2022,19,,,,,,,
18/05/2022,20,,,,,,0.186,
19/05/2022,21,,,,,,,
20/05/2022,22,,,,,,,
21/05/2022,23,,,,,,,
22/05/2022,24,,,,,,,
23/05/2022,25,,,,,,,
24/05/2022,26,,,,,,,
25/05/2022,27,,,,,,0.182,
26/05/2022,28,,,,,,,
27/05/2022,29,,,,,,,
28/05/2022,30,,,,,,,
29/05/2022,31,,,,,,,
30/05/2022,32,,,,,,,
31/05/2022,33,,,,,,,
01/06/2022,34,,,,,,,
02/06/2022,35,,,,,,,
03/06/2022,36,,,,,,,
04/06/2022,37,,,,,,,
05/06/2022,38,,,,,,,
06/06/2022,39,,,,,,,
07/06/2022,40,,,,,,,
08/06/2022,41,,,,,,,
09/06/2022,42,,,,,,,
10/06/2022,43,,,,,,0.191,
11/06/2022,44,,,,,,,8.03
12/06/2022,45,,,,,,,
13/06/2022,46,,,,,,,
14/06/2022,47,,,,,,,
15/06/2022,48,,,,,,,
16/06/2022,49,,,,,,0.193,
17/06/2022,50,,,,,,,7.7
18/06/2022,51,,,,,,,
19/06/2022,52,,,,,,,
20/06/2022,53,,,,,,,
21/06/2022,54,,,,,,,
22/06/2022,55,,,,,,,
23/06/2022,56,,,,,,,
24/06/2022,57,,,,,,,7.8
25/06/2022,58,,,,,,,
26/06/2022,59,,,,,,,
27/06/2022,60,,,,,,,
28/06/2022,61,,,,,,,
29/06/2022,62,,,,,,0.188,
30/06/2022,63,,,,,,,
01/07/2022,64,,,,,,,
02/07/2022,65,,,,,,,
03/07/2022,66,,,,,,,
04/07/2022,67,,,,,,,
05/07/2022,68,,,,,,,
06/07/2022,69,,,,,,,
07/07/2022,70,,,,,,0.193,
08/07/2022,71,,,,,,,
09/07/2022,72,,,,,,,
